#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,117,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,190,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.043374000,0.026133000, 5.787247
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
155,-13.768000000,12.124714274,8261,12.124704361,8261,0.000082599,12.124723766,8261,0.000078284
156,-16.106000000,12.132422241,8263,12.132381439,8263,0.000338939,12.132381120,8263,0.000338939
157,-14.826000000,12.077716742,8264,12.077669144,8264,0.000395910,12.077668925,8264,0.000395910
158,-15.845000000,12.047508420,8265,12.047467232,8265,0.000342736,12.047467129,8265,0.000342736
159,-17.110000000,12.162218152,8266,12.162175179,8266,0.000354098,12.162180104,8266,0.000312836
160,-14.143000000,12.295304514,8268,12.295279503,8268,0.000201319,12.295228879,8268,0.000615153
161,-16.355000000,12.296373619,8269,12.296344757,8269,0.000231619,12.296295501,8269,0.000635290
162,-18.038000000,12.361053661,8269,12.361008644,8269,0.000362315,12.361017516,8269,0.000292410
163,-16.624000000,12.430090400,8271,12.430066109,8271,0.000194598,12.430023860,8271,0.000535314
164,-15.123000000,12.365432912,8272,12.365407944,8272,0.000199733,12.365365642,8272,0.000544021
165,-18.148000000,12.323587529,8272,12.323545456,8272,0.000343498,12.323553865,8272,0.000273167
166,-16.842000000,12.260388186,8274,12.260360718,8274,0.000226755,12.260317447,8274,0.000576968
167,-16.611000000,12.177864895,8275,12.177845955,8275,0.000152186,12.177802507,8275,0.000512306
168,-17.136000000,12.126479625,8275,12.126437187,8275,0.000350906,12.126450285,8275,0.000241953
169,-17.242000000,12.088593817,8276,12.088548660,8276,0.000372810,12.088562003,8276,0.000263173
170,-18.544000000,12.081151793,8277,12.081109047,8277,0.000357172,12.081116852,8277,0.000289218
171,-20.420000000,12.097326129,8278,12.097286224,8278,0.000331281,12.097294882,8278,0.000258295
172,-20.788000000,12.120962184,8279,12.120922089,8279,0.000332236,12.120926320,8279,0.000295885
173,-18.998000000,12.215870423,8279,12.215859413,8279,0.000090994,12.215881167,8279,0.000087947
174,-19.830000000,12.334499244,8280,12.334485054,8280,0.000113458,12.334506898,8280,0.000062057
175,-20.972000000,12.389160379,8281,12.389146805,8281,0.000106881,12.389168691,8281,0.000067089
176,-23.014000000,12.420944323,8282,12.420933723,8282,0.000087857,12.420954909,8282,0.000085224
