#Stats Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,1,0,0,0
#Scrimp Double Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp Float Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Scrimp FlexFloat Exceptions: DivByZero,Inexact,Invalid,Overflow,Underflow
0,256,0,0,0
#Time (s): double,float,flexfloat
0.207665000,0.116868000,14.937824
#Profile Length
20035
#i,tseries,doubleMP,j,floatMP,j,errorf(%),flexfloatMP,j,errorff(%)
122,-9.137600000,12.106782845,8229,12.106744766,8229,0.000318407,12.000000000,7855,0.882008425
123,-3.401000000,12.141753678,8230,12.141716003,8230,0.000311261,11.747340124,7857,3.248406813
124,-4.308400000,12.160358419,8231,12.160320282,8231,0.000315910,12.083045974,8232,0.635774393
125,-3.947600000,12.142297627,18302,12.142288208,18302,0.000076729,11.916375288,18302,1.860622642
126,-2.063600000,12.119695473,18303,12.119694710,18303,0.000008493,11.916375288,18302,1.677601435
127,0.158250000,12.106259497,18304,12.106256485,18304,0.000024519,12.000000000,8233,0.877723604
128,2.224100000,12.107455992,18305,12.107457161,18305,0.000008370,12.288205727,18304,1.492879558
129,4.014800000,12.139988873,18305,12.139971733,18305,0.000138526,12.369316877,8237,1.889029774
130,2.795800000,12.177050983,8236,12.177042961,8236,0.000064200,11.832159566,18306,2.832306584
131,3.554100000,12.177208589,8237,12.177198410,8237,0.000082475,12.165525061,18307,0.095945869
132,3.486100000,12.174178556,8238,12.174168587,8238,0.000084535,11.916375288,8238,2.117623515
133,2.241600000,12.138355367,18310,12.138350487,18310,0.000039769,12.000000000,18310,1.139819713
134,2.969200000,12.106676383,18311,12.106674194,18311,0.000016828,11.832159566,8242,2.267482903
135,4.517900000,12.067733821,8242,12.067689896,8242,0.000365464,12.083045974,8243,0.126885069
136,1.794100000,11.974802596,8243,11.974754333,8243,0.000401804,12.083045974,8244,0.903926197
137,-3.199200000,11.946733507,8243,11.946720123,8243,0.000112245,12.000000000,8245,0.445866584
138,-2.299500000,11.946649755,8245,11.946603775,8245,0.000384094,12.000000000,8246,0.446570763
139,-3.667200000,11.933808580,8245,11.933791161,8245,0.000144812,11.661903790,8247,2.278441024
140,-1.785500000,11.923898777,8247,11.923851013,8247,0.000400686,11.661903790,8248,2.197225858
141,-1.020000000,11.890281070,8248,11.890239716,8248,0.000345282,11.916375288,8249,0.219458376
142,-1.124800000,11.859199326,8249,11.859157562,8249,0.000352221,11.575836903,8250,2.389389159
143,0.296730000,11.835635055,8249,11.835625648,8249,0.000080629,11.489125293,8250,2.927682037
144,-0.767070000,11.809291193,8250,11.809277534,8250,0.000112241,11.832159566,8252,0.193647300
145,-0.841180000,11.791474734,8251,11.791457176,8251,0.000152566,11.747340124,8253,0.374292533
146,-0.980800000,11.796191745,8252,11.796177864,8252,0.000118182,12.083045974,8254,2.431752845
147,-1.385800000,11.814322662,8253,11.814311028,8253,0.000099607,11.661903790,8254,1.290119428
148,-0.611750000,11.854756068,8254,11.854743004,8254,0.000106311,11.661903790,8253,1.626792465
149,-0.900630000,11.892011233,8255,11.891994476,8255,0.000143551,11.916375288,8254,0.204877496
150,0.158600000,11.945391914,8256,11.945376396,8256,0.000130132,11.661903790,8257,2.373200698
151,1.447800000,11.999175666,8257,11.999164581,8257,0.000092622,11.916375288,8257,0.690050555
152,-3.158000000,12.074087975,8259,12.074046135,8259,0.000345600,12.247448714,8257,1.435808148
153,-11.368000000,12.103703286,8259,12.103689194,8259,0.000119590,11.916375288,8260,1.547691593
154,-13.707000000,12.123630482,8260,12.123623848,8260,0.000055122,11.916375288,8260,1.709514280
155,-13.768000000,12.124714274,8261,12.124704361,8261,0.000082599,12.247448714,8263,1.012266659
156,-16.106000000,12.132422241,8263,12.132381439,8263,0.000338939,12.247448714,8264,0.948091572
157,-14.826000000,12.077716742,8264,12.077669144,8264,0.000395910,12.247448714,8265,1.405331614
158,-15.845000000,12.047508420,8265,12.047467232,8265,0.000342736,11.916375288,8264,1.088466827
159,-17.110000000,12.162218152,8266,12.162175179,8266,0.000354098,12.083045974,8267,0.650968245
160,-14.143000000,12.295304514,8268,12.295279503,8268,0.000201319,12.083045974,8268,1.726338218
161,-16.355000000,12.296373619,8269,12.296344757,8269,0.000231619,12.165525061,8268,1.064123151
162,-18.038000000,12.361053661,8269,12.361008644,8269,0.000362315,12.165525061,8270,1.581811759
163,-16.624000000,12.430090400,8271,12.430066109,8271,0.000194598,12.569805090,8271,1.124003811
164,-15.123000000,12.365432912,8272,12.365407944,8272,0.000199733,12.288205727,8272,0.624540891
165,-18.148000000,12.323587529,8272,12.323545456,8272,0.000343498,12.288205727,8273,0.287106342
166,-16.842000000,12.260388186,8274,12.260360718,8274,0.000226755,12.288205727,8274,0.226889566
167,-16.611000000,12.177864895,8275,12.177845955,8275,0.000152186,12.000000000,8275,1.460558944
168,-17.136000000,12.126479625,8275,12.126437187,8275,0.000350906,12.000000000,8276,1.043003650
169,-17.242000000,12.088593817,8276,12.088548660,8276,0.000372810,12.000000000,8277,0.732871152
170,-18.544000000,12.081151793,8277,12.081109047,8277,0.000357172,11.747340124,8277,2.763078176
171,-20.420000000,12.097326129,8278,12.097286224,8278,0.000331281,11.916375288,8278,1.495792036
172,-20.788000000,12.120962184,8279,12.120922089,8279,0.000332236,11.916375288,8279,1.687876699
173,-18.998000000,12.215870423,8279,12.215859413,8279,0.000090994,12.206555616,8280,0.076251691
174,-19.830000000,12.334499244,8280,12.334485054,8280,0.000113458,12.206555616,8281,1.037282711
175,-20.972000000,12.389160379,8281,12.389146805,8281,0.000106881,12.449899598,8282,0.490260977
176,-23.014000000,12.420944323,8282,12.420933723,8282,0.000087857,12.489995997,12888,0.555929338
177,-24.451000000,12.493428769,8283,12.493414879,8283,0.000110100,12.449899598,8285,0.348416529
178,-23.688000000,12.544895066,12890,12.544884682,12890,0.000083234,12.369316877,8285,1.399598710
179,-20.981000000,12.447549444,12891,12.447538376,12891,0.000090121,12.369316877,12891,0.628497740
180,-22.406000000,12.338356817,12892,12.338345528,12892,0.000091046,12.124355653,6558,1.734438118
181,-22.724000000,12.249418446,12893,12.249407768,12893,0.000087766,12.247448714,12893,0.016080212
182,-22.732000000,12.268429661,12894,12.268418312,12894,0.000088771,12.247448714,12894,0.171015751
183,-20.676000000,12.215494589,12895,12.215481758,12895,0.000107561,12.247448714,12895,0.261586826
184,-19.422000000,12.174501885,12896,12.174488068,12896,0.000109970,12.288205727,12896,0.933950671
185,-14.520000000,12.117049182,12897,12.117041588,12897,0.000064028,11.916375288,19999,1.656128414
186,-6.259700000,12.109771855,12898,12.109761238,12898,0.000087919,11.916375288,19998,1.597028993
187,-6.425200000,12.151232793,12899,12.151224136,12899,0.000074992,12.124355653,12899,0.221188588
188,-4.558300000,12.191894026,12900,12.191885948,12900,0.000063942,11.916375288,19997,2.259851810
189,-1.456900000,12.223684764,12901,12.223676682,12901,0.000065350,11.916375288,19999,2.514049424
190,-1.222400000,12.224498399,12902,12.224490166,12902,0.000068580,12.206555616,20003,0.146777252
191,0.209780000,12.199944864,12903,12.199935913,12903,0.000072139,11.916375288,19999,2.324351292
192,1.778800000,12.164400005,12904,12.164389610,12904,0.000083083,12.041594579,12904,1.009547743
193,3.131200000,12.143832822,12905,12.143829346,12905,0.000032430,11.916375288,19999,1.873029194
194,4.013600000,12.198189519,6572,12.198226929,6572,0.000305831,12.083045974,6573,0.943939633
195,5.396100000,12.073443454,6573,12.073477745,6573,0.000282308,11.832159566,6573,1.998467865
196,4.558200000,11.935209566,6574,11.935239792,6574,0.000254051,11.832159566,6574,0.863411734
197,4.579200000,11.877900563,6575,11.877935410,6575,0.000296237,12.124355653,20009,2.074904476
198,4.447600000,11.883130516,6576,11.883167267,6576,0.000306248,12.083045974,6577,1.682346729
199,3.375000000,11.922692859,6577,11.922725677,6577,0.000278825,12.000000000,6577,0.648403362
200,-1.854900000,11.944590947,6578,11.944623947,6578,0.000276455,11.832159566,6578,0.941274434
201,-4.763500000,11.969933195,6579,11.969964981,6579,0.000264908,12.000000000,6579,0.251186070
202,-6.382300000,11.997535164,6580,11.997563362,6580,0.000235619,12.000000000,6580,0.020544519
203,-7.476300000,12.094880520,6581,12.094915390,6581,0.000286172,12.165525061,1030,0.584086307
204,-7.038600000,12.277996646,6582,12.278027534,6582,0.000254675,12.247448714,6583,0.248802252
205,-5.517700000,12.543021246,6583,12.543050766,6583,0.000236141,12.489995997,9570,0.422747023
206,-5.796000000,12.998036173,6584,12.998062134,6584,0.000198620,13.038404810,1035,0.310574899
